apps/erpnext/erpnext/projects/doctype/project/project.py +56,Expected End Date can not be less than Expected Start Date,تاريخ الانتهاء المتوقع لا يمكن ان يكون أقل من تاريخ البداية المتوقع
apps/erpnext/erpnext/utilities/transaction_base.py +107,Row #{0}: Price must be same as {1}: {2} ({3} / {4}) ,الصف # {0}: السعر يجب أن يكون مثل {1} {2} ({3} / {4})
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py +256,New Leave Application,طلب اجازه جديد
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +143,Bank Draft,حوالة بنكية
DocType: Mode of Payment Account,Mode of Payment Account,طريقة حساب الدفع
apps/erpnext/erpnext/stock/doctype/item/item.js +52,Show Variants,اظهارالتنوعات
DocType: Academic Term,Academic Term,الفصل الدراسي
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.py +14,Material,المواد
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js +624,Quantity,الكمية
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +529,Accounts table cannot be blank.,جدول الحسابات لا يمكن أن يكون فارغا
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +151,Loans (Liabilities),(قروض (إلتزامات
DocType: Employee Education,Year of Passing,سنة النجاح
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py +69,"Reference: %s, Item Code: %s and Customer: %s","% :مرجع: ٪، كودالصنف: ٪ والعميل"
apps/erpnext/erpnext/public/js/pos/pos_bill_item.html +12,In Stock,متوافر
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html +46,Open Issues,مشاكل مفتوحة
DocType: Designation,Designation, تسميةأو تعيين
DocType: Production Plan Item,Production Plan Item,بند خطة الأنتاج
apps/erpnext/erpnext/hr/doctype/employee/employee.py +141,User {0} is already assigned to Employee {1},المستخدم {0} تم تعيينه بالفعل إلى موظف {1}
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +31,Health Care,الرعاية الصحية
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py +65,Delay in payment (Days), (التأخير في الدفع (أيام
apps/erpnext/erpnext/fleet_management/report/vehicle_expenses/vehicle_expenses.py +25,Service Expense,نفقات أو مصروفات الخدمة
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js +758,Invoice,فاتورة
DocType: Maintenance Schedule Item,Periodicity,دورية
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py +21,Fiscal Year {0} is required,السنة المالية {0} مطلوبة
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +21,Defense,دفاع
DocType: Salary Component,Abbr,اسم مختصر
DocType: Appraisal Goal,Score (0-5),(نقاط التقييم (0-5
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +214,Row {0}: {1} {2} does not match with {3},صف {0}: {1} {2} لا يتطابق مع {3}
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py +75,Row # {0}:,: الصف # {0}
DocType: Timesheet,Total Costing Amount,اجمالي قيمة التكاليف
DocType: Delivery Note,Vehicle No,رقم السيارة
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py +139,Please select Price List,الرجاء تحديد قائمة الأسعار
DocType: Production Order Operation,Work In Progress,تحت التشغيل
apps/erpnext/erpnext/schools/report/absent_student_report/absent_student_report.py +13,Please select date,يرجى تحديد التاريخ
DocType: Employee,Holiday List,قائمة الأجازات أوالعطلات
apps/erpnext/erpnext/public/js/setup_wizard.js +205,Accountant,محاسب
DocType: Cost Center,Stock User,مستخدم المخزون
DocType: Company,Phone No,رقم الهاتف
apps/erpnext/erpnext/schools/doctype/course_scheduling_tool/course_scheduling_tool.py +49,Course Schedules created:,جداول الدورة تم انشائها
apps/erpnext/erpnext/controllers/recurring_document.py +132,New {0}: #{1},جديد {0}: #{1}
,Sales Partners Commission,عمولة شركاء البيع
apps/erpnext/erpnext/hr/doctype/salary_component/salary_component.py +21,Abbreviation cannot have more than 5 characters,الاختصار لا يمكن أن يكون أكثر من 5 أحرف
DocType: Payment Request,Payment Request,طلب دفع و سداد
DocType: Asset,Value After Depreciation,القيمة بعد الاستهلاك
DocType: Employee,O+,O+
apps/erpnext/erpnext/selling/doctype/quotation/quotation_dashboard.py +8,Related,ذات صلة
apps/erpnext/erpnext/accounts/doctype/account/account.js +26,This is a root account and cannot be edited.,.هذا حساب أساس ولا يمكن تعديله
DocType: BOM,Operations,العمليات
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py +38,Cannot set authorization on basis of Discount for {0},لا يمكن تعيين إذن أو تفويض على أساس الخصم لـ {0}
DocType: Rename Tool,"Attach .csv file with two columns, one for the old name and one for the new name","Attach .csv file with two columns, one for the old name and one for the new name"
DocType: Packed Item,Parent Detail docname,الرئيسي Docname تفاصيل
apps/erpnext/erpnext/public/js/setup_wizard.js +298,Kg,كجم
DocType: Student Log,Log,سجل
apps/erpnext/erpnext/config/hr.py +45,Opening for a Job.,فتح التوظيف ل وظيفة
DocType: Item Attribute,Increment,الزيادة
apps/erpnext/erpnext/public/js/stock_analytics.js +62,Select Warehouse...,... حدد أو إختار مستودع
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +6,Advertising,إعلان
apps/erpnext/erpnext/accounts/doctype/mode_of_payment/mode_of_payment.py +22,Same Company is entered more than once,تم إدخال نفس الشركة أكثر من مرة
DocType: Employee,Married,متزوج
apps/erpnext/erpnext/accounts/party.py +38,Not permitted for {0},{0} غير مسموح ل
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js +576,Get items from,الحصول على الأصناف من
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py +413,Stock cannot be updated against Delivery Note {0},لا يمكن تحديث أو تعديل المخزون مقابل إذن تسليم {0}
apps/erpnext/erpnext/templates/pages/home.py +25,Product {0},المنتج {0}
DocType: Payment Reconciliation,Reconcile,التسوية
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +30,Grocery,بقالة
DocType: Quality Inspection Reading,Reading 1,قراءة 1
DocType: Process Payroll,Make Bank Entry,انشاء قيد بنكي
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +40,Pension Funds,صناديق التقاعد
DocType: SMS Center,All Sales Person,كل مندوبى البيع
DocType: Monthly Distribution,**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,التوزيع الشهري ** يساعدك على توزيع الهدف أو الميزانية على مدى عدة شهور إذا كان لديك موسمية في عملك **
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py +174,Salary Structure Missing,هيكل الراتب مفقود
DocType: Lead,Person Name,اسم الشخص
DocType: Sales Invoice Item,Sales Invoice Item,صنف فاتورة مبيعات
DocType: Account,Credit,دائن
DocType: POS Profile,Write Off Cost Center,مركز التكلفة لشطب مبلغ أو دين
apps/erpnext/erpnext/public/js/setup_wizard.js +51,"e.g. ""Primary School"" or ""University"""," ""علي سبيل المثال ""المدرسة الإبتدائية"" أو الجامعة "
apps/erpnext/erpnext/config/stock.py +32,Stock Reports,تقارير المخزون
DocType: Warehouse,Warehouse Detail,تفاصيل المستودع
apps/erpnext/erpnext/selling/doctype/customer/customer.py +201,Credit limit has been crossed for customer {0} {1}/{2},تم تجاوز حد الإئتمان للعميل {0} {1} / {2}
apps/erpnext/erpnext/schools/doctype/academic_term/academic_term.py +31,The Term End Date cannot be later than the Year End Date of the Academic Year to which the term is linked (Academic Year {}). Please correct the dates and try again.,تاريخ نهاية المدة لا يمكن أن يكون في وقت لاحق من تاريخ نهاية السنة للعام الدراسي الذي يرتبط مصطلح (السنة الأكاديمية {}). يرجى تصحيح التواريخ وحاول مرة أخرى.
apps/erpnext/erpnext/stock/doctype/item/item.py +474,"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","هذا من الأصول الثابتة"" لا يمكن إزالة اختياره أو التعليم عليه لأنه يوجد سجل اصول مقابل هذا البند """
DocType: Vehicle Service,Brake Oil,زيت الفرامل
DocType: Tax Rule,Tax Type,نوع الضريبة
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +156,You are not authorized to add or update entries before {0},غير مصرح لك باضافة أو تحديث القيد قبل {0}
DocType: Item,Item Image (if not slideshow),(صورة الصنف (إن لم يكن عرض الصور
apps/erpnext/erpnext/setup/doctype/customer_group/customer_group.py +20,An Customer exists with same name,يوجد عميل مسجل بنفس الاسم
DocType: Production Order Operation,(Hour Rate / 60) * Actual Operation Time,معدل الساعة / 60 ) * الوقت الفعلي للتشغيل )
DocType: SMS Log,SMS Log,SMS سجل رسائل
apps/erpnext/erpnext/projects/report/project_wise_stock_tracking/project_wise_stock_tracking.py +27,Cost of Delivered Items,تكلفة الأصناف المستلمة
apps/erpnext/erpnext/hr/doctype/holiday_list/holiday_list.py +38,The holiday on {0} is not between From Date and To Date,العطله في {0} ليست بين من تاريخ و إلى تاريخ
DocType: Student Log,Student Log,سجل الطالب
DocType: Quality Inspection,Get Specification Details,الحصول على تفاصيل المواصفات
DocType: Lead,Interested,مهتم
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py +167,Opening,افتتاح
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py +27,From {0} to {1},من {0} إلى {1}
DocType: Item,Copy From Item Group,نسخة من مجموعةالصنف
DocType: Journal Entry,Opening Entry,قيد إفتتاحي
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js +25,Account Pay Only,حساب دفع فقط
DocType: Stock Entry,Additional Costs,تكاليف إضافية
apps/erpnext/erpnext/accounts/doctype/account/account.py +141,Account with existing transaction can not be converted to group.,.لا يمكن تحويل حساب جرت عليه أي عملية إلى مجموعة
DocType: Lead,Product Enquiry,البحث أوالأستعلام عن المنتج
DocType: Academic Term,Schools,المدارس
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js +23,Please enter company first,يرجى إدخال الشركة أولا
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.js +333,Please select Company first,يرجى اختيار الشركة أولا
DocType: Employee Education,Under Graduate,طالب جامعي
apps/erpnext/erpnext/selling/report/sales_person_target_variance_item_group_wise/sales_person_target_variance_item_group_wise.js +27,Target On,الهدف/تارجت علي
DocType: BOM,Total Cost,التكلفة الكلية
apps/erpnext/erpnext/hr/doctype/process_payroll/process_payroll.js +66,Activity Log:,:سجل النشاط
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py +216,Item {0} does not exist in the system or has expired,الصنف {0} غير موجود في النظام أو قد إنتهت صلاحيتها
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +44,Real Estate,العقارات
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.html +4,Statement of Account,كشف حساب
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +41,Pharmaceuticals,الصيدلة
DocType: Purchase Invoice Item,Is Fixed Asset,هو صنف أصول ثابتة
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py +225,"Available qty is {0}, you need {1}",الكمية المتوفرة {0}أنت تحتاج {1}
DocType: Expense Claim Detail,Claim Amount,قيمة المطالبة
DocType: Employee,Mr,السيد
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py +49,Duplicate customer group found in the cutomer group table,مجموعة عملاء مكررة موجودة في جدول مجموعة العملاء
apps/erpnext/erpnext/buying/page/purchase_analytics/purchase_analytics.js +33,Supplier Type / Supplier,نوع المورد / المورد
DocType: Naming Series,Prefix,بادئة
apps/erpnext/erpnext/public/js/setup_wizard.js +295,Consumable,سلع إستهلاكية
DocType: Employee,B-,B-
DocType: Upload Attendance,Import Log,استيراد سجل
DocType: Production Planning Tool,Pull Material Request of type Manufacture based on the above criteria,طلب سحب مواد من نوع الصناعة بناء على المعايير المذكورة أعلاه
DocType: Training Result Employee,Grade,درجة
DocType: Sales Invoice Item,Delivered By Supplier,سلمت من قبل مورد
DocType: SMS Center,All Contact,جميع جهات الإتصال
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +175,Annual Salary,الراتب السنوي
DocType: Daily Work Summary,Daily Work Summary,ملخص عمل يومي
DocType: Period Closing Voucher,Closing Fiscal Year,إغلاق السنة المالية
apps/erpnext/erpnext/accounts/party.py +349,{0} {1} is frozen,ـ {0} {1} مجمد
apps/erpnext/erpnext/setup/doctype/company/company.py +129,Please select Existing Company for creating Chart of Accounts,يرجى تحديد شركة حالية لإنشاء مخطط الحسابات
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +78,Stock Expenses,تكلفة المخزون
DocType: Journal Entry,Contra Entry,(قيد كونترا (تحويل
DocType: Journal Entry Account,Credit in Company Currency,الدائن بعملة الشركه
DocType: Delivery Note,Installation Status,حالة التركيب
apps/erpnext/erpnext/controllers/buying_controller.py +316,Accepted + Rejected Qty must be equal to Received quantity for Item {0},الكمية المقبولة + المرفوضة يجب أن تساوي الكمية المستلمة من الصنف {0}
DocType: Request for Quotation,RFQ-,RFQ-
DocType: Item,Supply Raw Materials for Purchase,توريد مواد خام للشراء
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py +131,At least one mode of payment is required for POS invoice.,على الاقل طريقة دفع واحده يجب تحديدها لفاتورة نقاط البيع
DocType: Products Settings,Show Products as a List,عرض المنتجات كقائمة
DocType: Upload Attendance,"Download the Template, fill appropriate data and attach the modified file.
All dates and employee combination in the selected period will come in the template, with existing attendance records","إنزيل النموزج وإملأ البيانات المناسبة وإرفق الملف المعدل
 جميع التواريخ وتجميعةالموظف في الفترة المختارة ستأتي في النموزج، مع سجلات الحضور القائمة"
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py +471,Item {0} is not active or end of life has been reached,الصنف {0} غير مفعل أو تم الوصول إلى نهاية العمر
apps/erpnext/erpnext/public/js/setup_wizard.js +341,Example: Basic Mathematics,على سبيل المثال: الرياضيات الأساسية
apps/erpnext/erpnext/controllers/accounts_controller.py +663,"To include tax in row {0} in Item price, taxes in rows {1} must also be included","{1} إدخال الضريبة في الصف {0} في سعر الصنف ، يجب أيضا تضمين الضرائب في الصفوف"
apps/erpnext/erpnext/config/hr.py +177,Settings for HR Module,إعدادات برنامج/موديول المواردالبشرية
DocType: SMS Center,SMS Center,SMS مركز الرسائل النصيه القصيره
DocType: Sales Invoice,Change Amount,تغيير القيمة
DocType: BOM Replace Tool,New BOM,بوم جديد
DocType: Depreciation Schedule,Make Depreciation Entry,انشاء قيد اهلاك
DocType: Appraisal Template Goal,KRA,المسؤوليات الرئيسية للوظيفة
DocType: Lead,Request Type,نوع الطلب
DocType: Leave Application,Reason,السبب
apps/erpnext/erpnext/hr/doctype/offer_letter/offer_letter.js +15,Make Employee,انشاء موظف
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +14,Broadcasting,إذاعة
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +150,Execution,تنفيذ
apps/erpnext/erpnext/config/manufacturing.py +62,Details of the operations carried out.,تم تنفيذ تفاصيل العمليات
DocType: Serial No,Maintenance Status,حالة الصيانة
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +52,{0} {1}: Supplier is required against Payable account {2},{0} {1}: Supplier is required against Payable account {2}
apps/erpnext/erpnext/config/selling.py +52,Items and Pricing,الأصناف والتسعير
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.html +2,Total hours: {0},{0} :اجمالي الساعات
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py +43,From Date should be within the Fiscal Year. Assuming From Date = {0},تاريخ البدايه ينبغي أن يكون ضمن السنة المالية. إفترض تاريخ البدايه= {0}
DocType: Customer,Individual,فرد
DocType: Interest,Academics User,مستخدم اكاديمي
DocType: Cheque Print Template,Amount In Figure,القيمة في الشكل
apps/erpnext/erpnext/config/maintenance.py +12,Plan for maintenance visits.,خطة لزيارات الصيانة
DocType: SMS Settings,Enter url parameter for message,للرسالة URL إدخل بارامتر لعنوان
DocType: POS Profile,Customer Groups,مجموعات العملاء
DocType: Program Enrollment Tool,Students,الطلاب
apps/erpnext/erpnext/config/selling.py +91,Rules for applying pricing and discount.,.قواعد تطبيق التسعير والخصم
apps/erpnext/erpnext/stock/doctype/price_list/price_list.py +14,Price List must be applicable for Buying or Selling,قائمة الاسعار يجب ان تكون قابله للتطبيق للبيع والشراء
apps/erpnext/erpnext/selling/doctype/installation_note/installation_note.py +79,Installation date cannot be before delivery date for Item {0},تاريخ التركيب لا يمكن أن يكون قبل تاريخ التسليم للصنف أو القطعة {0}
DocType: Pricing Rule,Discount on Price List Rate (%),(٪) معدل الخصم على قائمة الأسعار
DocType: Offer Letter,Select Terms and Conditions,إختار الشروط و الأحكام
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.py +51,Out Value,قيمة الخارج
DocType: Production Planning Tool,Sales Orders,أوامر البيع
DocType: Purchase Taxes and Charges,Valuation,تقييم
,Purchase Order Trends,ترندات أوامر الشراء
apps/erpnext/erpnext/templates/emails/request_for_quotation.html +7,The request for quotation can be accessed by clicking on the following link,طلب عرض الأسعار يمكن الوصول إليها من خلال النقر على الرابط التالي
apps/erpnext/erpnext/config/hr.py +81,Allocate leaves for the year.,تخصيص الاجازات لهذا العام
DocType: SG Creation Tool Course,SG Creation Tool Course,SG انشاء أداة للكورس أو الدورة
DocType: Student Group Creation Tool,Leave blank if you wish to fetch all courses for selected academic term,اتركه فارغ إذا كنت ترغب في جلب جميع الدورات للفصل الدراسي المحدد
apps/erpnext/erpnext/controllers/selling_controller.py +168,Selling price for item {0} is lower than its {1}. Selling price should be atleast {2},ثمن البيع للصنف {0} أقل من  {1}. يجب أن يكون سعر البيع على الاقل {2}
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py +227,Insufficient Stock,المخزون غير كافي
DocType: Manufacturing Settings,Disable Capacity Planning and Time Tracking,تعطيل تخطيط الطاقة وتتبع الوقت
DocType: Email Digest,New Sales Orders,أوامر مبيعات جديدة
DocType: Bank Reconciliation,Bank Account,الحساب المصرفي
DocType: Leave Type,Allow Negative Balance,السماح بالرصيد السلبي
DocType: Selling Settings,Default Territory,المنطقة الأفتراضية
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +53,Television,تلفزيون
DocType: Production Order Operation,Updated via 'Time Log','تحديث من خلال 'سجل وقت
apps/erpnext/erpnext/controllers/taxes_and_totals.py +413,Advance amount cannot be greater than {0} {1},الدفعة المقدمة لا يمكن أن تكون أكبر من {0} {1}
DocType: Naming Series,Series List for this Transaction,قائمة السلاسل الرقمية لهذه العملية
DocType: Sales Invoice,Is Opening Entry,هل هو قيد إفتتاحي
DocType: Customer Group,Mention if non-standard receivable account applicable,أذكر إذا كان حساب القبض الغير إستاندر قابله للتطبيق
DocType: Course Schedule,Instructor Name,اسم المدرب أو الأستاذ
apps/erpnext/erpnext/manufacturing/doctype/production_order/production_order.py +176,For Warehouse is required before Submit,تحديد المخزن مطلوب قبل الإدخال
apps/erpnext/erpnext/accounts/print_format/payment_receipt_voucher/payment_receipt_voucher.html +8,Received On,استلم في
DocType: Sales Partner,Reseller,Reseller موزع
DocType: Production Planning Tool,"If checked, Will include non-stock items in the Material Requests.",".اذا تم التأشير عليه, سيتم تضمين البنود والاصناف الغير متوفره بالمخزون في طلبات المواد"
apps/erpnext/erpnext/manufacturing/doctype/production_planning_tool/production_planning_tool.py +24,Please enter Company,يرجى إدخال الشركة
DocType: Delivery Note Item,Against Sales Invoice Item,مقابل فاتورة بيع الصنف
,Production Orders in Progress,أوامر إنتاج تحت التشغيل
apps/erpnext/erpnext/accounts/report/cash_flow/cash_flow.py +38,Net Cash from Financing,صافي النقدية من التمويل
apps/erpnext/erpnext/accounts/page/pos/pos.js +1542,"LocalStorage is full , did not save","وحدة التخزين المحلية ممتلئه , لم يتم الحفظ"
DocType: Lead,Address & Contact,العنوان وجهات الإتصال
DocType: Leave Allocation,Add unused leaves from previous allocations,إضافة الاجازات غير المستخدمة من اللأرصدة السابقة
apps/erpnext/erpnext/controllers/recurring_document.py +227,Next Recurring {0} will be created on {1},المتكرر التالي {0} سيتم إنشاؤه فى {1}
DocType: Sales Partner,Partner website,الموقع الألكتروني لشريك البيع
apps/erpnext/erpnext/stock/dashboard/item_dashboard.js +105,Add Item,اضافة عنصر أو صنف
,Contact Name,إسم جهة الإتصال
DocType: Process Payroll,Creates salary slip for above mentioned criteria.,.إصدار إيصال مفردات المرتب وفق المعايير المذكورةأعلاه
DocType: POS Customer Group,POS Customer Group,مجموعة عملاء نقاط البيع
DocType: Cheque Print Template,Line spacing for amount in words,تباعد الأسطر للقيمة بالكلمات المفقطة
DocType: Vehicle,Additional Details,تفاصيل اضافية
apps/erpnext/erpnext/templates/generators/item.html +77,No description given,لا يوجد وصف
apps/erpnext/erpnext/config/buying.py +13,Request for purchase.,.طلب شراء
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.py +6,This is based on the Time Sheets created against this project,يستند هذا على الجداول الزمنيه المعدة لهذا المشروع
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py +339,Net Pay cannot be less than 0,صافي الراتب لا يمكن أن يكون أقل من 0
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py +215,Only the selected Leave Approver can submit this Leave Application,فقط الشخص الذي تم اختياره والمصرح له بالموافقة علي الأجازة  يمكنه إدخال طلب الاجازه
apps/erpnext/erpnext/hr/doctype/employee/employee.py +113,Relieving Date must be greater than Date of Joining,تاريخ التسريح من العمل يجب أن يكون أكبر من تاريخ الالتحاق بالعمل
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +183,Leaves per Year,الأجازات لكل سنه
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +119,Row {0}: Please check 'Is Advance' against Account {1} if this is an advance entry.,الصف {0}: برجاء التأشير على 'هو دفعة مقدمة' مقابل الحساب {1} لو كان هذا قيد مقدم
apps/erpnext/erpnext/stock/utils.py +188,Warehouse {0} does not belong to company {1},مستودع {0} لا تنتمي إلى شركة {1}
DocType: Email Digest,Profit & Loss,ربح و خساره
apps/erpnext/erpnext/public/js/setup_wizard.js +299,Litre,لتر
DocType: Task,Total Costing Amount (via Time Sheet),(إجمالي قيمة التكاليف  (من خلال سجل ساعات العمل
DocType: Item Website Specification,Item Website Specification,خصائص الموقع الألكتروني للصنف
